title,description,product_price,seller,colors
Refined Frozen Ball,Beatae sint aut labore praesentium nulla.,395.00,Hal60,"{blue,lime,turquoise}"
Sleek Concrete Hat,"Dicta vel recusandae fugit quam illum dolores.
Mollitia sit quia quis.
Ut dolorum distinctio aliquid cum aliquid ducimus veniam.
Officiis quia et similique voluptas corporis.
Dicta natus veritatis est.",689.00,Carmelo18,"{plum,orchid,olive,salmon}"
Rustic Fresh Car,"Commodi earum accusantium qui cum.
Qui sit est.",255.00,Lucas.Sanford,"{plum,fuchsia}"
Gorgeous Plastic Sausages,"Maiores odio nobis sed perferendis.
Ut est et ut suscipit dolore nostrum ad possimus rerum.
Neque et enim eos et placeat ratione necessitatibus laudantium eum.
Repellendus perspiciatis quo officia minima qui quo.
Non debitis dolorem ad et.",726.00,Karlee.Bailey,"{silver,turquoise}"
Intelligent Steel Chair,"Sed qui itaque.
Ipsam aliquam quas illum cum laboriosam.
Dolorem quia delectus dolor dicta cupiditate.
Et voluptatem possimus sed.",637.00,Rory.Baumbach,"{maroon,yellow}"
Licensed Rubber Chair,"Sapiente inventore labore pariatur repudiandae est quia magni expedita.
Cum ea occaecati tenetur.",903.00,Eloisa.Will56,"{sky blue,teal}"
Fantastic Fresh Computer,"In velit ut voluptatem similique.
Qui vel deserunt quidem nihil deleniti beatae.
Non enim molestiae odit quia.",589.00,Carmela.Anderson26,{orange}
Small Plastic Soap,Est ab dolorum sunt veritatis.,687.00,Arthur_McCullough29,"{violet,grey,fuchsia}"
Practical Plastic Gloves,"Omnis ut ipsa quam facilis ea omnis.
Distinctio illo beatae.
Laudantium eaque aut et quibusdam facere.
Ullam est impedit corporis saepe ea et.
Voluptatem nostrum saepe.",18.00,Kirstin80,"{grey,lavender}"
Awesome Concrete Gloves,"Et molestiae magni.
Similique similique odio labore.
Aut alias veritatis quia iusto expedita sit non.
Laudantium quaerat minima tempore totam ab voluptatem velit dolore.",24.00,Jeramie57,"{green,lavender}"
